Date,Price,Open,High,Low,
11/23/2021,395.8,387,396.8,383.2,
11/22/2021,388.7,400.85,402.85,385,
11/18/2021,400.85,408,411.85,396.5,
11/17/2021,409.15,407.8,410.95,405.05,
11/16/2021,409.8,421.3,424,407.75,
11/15/2021,421.25,423,425.1,418.1,
11/12/21,422.85,424,427.15,419.7,
11/11/21,421.2,426.5,426.75,416.85,
11/10/21,428.35,427.6,433.4,424.8,
11/09/21,431.25,430.9,435,426.5,
11/08/21,429.75,415,430.35,413.45,
11/04/21,413.2,413.2,414.7,412.25,
11/03/21,412.9,408.75,414.7,403.5,
11/02/21,407.25,410,414.45,405.1,
11/01/21,409.8,406,412.65,402.95,
10/29/2021,404.8,392,406.85,382.25,
10/28/2021,390.05,383.6,392.5,380.8,
10/27/2021,381.85,375,387.05,373.7,
10/26/2021,380.35,377.7,381.3,373.25,
10/25/2021,375.9,378,378.2,365.75,
10/22/2021,376.1,380.2,381.7,372,
10/21/2021,379.9,394.85,394.85,378.2,
10/20/2021,392.75,391,399.9,387.6,
10/19/2021,389.35,412.25,412.8,387.05,
10/18/2021,410.6,418,418,409.55,
10/14/2021,408.75,407,414.8,405.25,
10/13/2021,404,406,407.9,403.05,
10/12/21,403.6,402.85,405,398.55,
10/11/21,402.95,404,406.95,400.3,
10/08/21,403.05,404.9,406,401.25,
10/07/21,402.9,398.95,404.7,397.3,
10/06/21,394.9,404,405.8,393.5,
10/05/21,403.65,406.45,407.6,402.8,
10/04/21,406.5,404.9,409.95,402.5,
10/01/21,402.25,399.9,404.8,396,
09/30/2021,400.2,408,408.35,398.4,
09/29/2021,406.45,410,410,401.15,
09/28/2021,413.1,421,424.5,411.1,
09/27/2021,418,412,420,407.45,
09/24/2021,410.7,421,423.5,408.85,
09/23/2021,419.55,421.9,422.9,415.1,
09/22/2021,419.5,414.65,422.85,413.05,
09/21/2021,413.2,407.75,414,402.4,
09/20/2021,409.8,416.9,419.2,408.25,
09/17/2021,419.8,431.9,432.35,418.45,
09/16/2021,430.2,437.05,439.7,427.8,
09/15/2021,437.05,432.45,438.05,431.45,
09/14/2021,432.45,436.55,436.85,428.5,
09/13/2021,436.25,437.1,439.7,434.4,
09/09/21,438.35,432.95,440.35,432.1,
09/08/21,435.95,441.45,441.45,433.5,
09/07/21,441.5,437.15,442.5,434,
09/06/21,438.3,440.85,442,436.65,
09/03/21,437.1,430.85,437.85,425.5,
09/02/21,428.7,421.55,432,421.5,
09/01/21,421.5,423,424.05,418.8,
08/31/2021,421.05,417.7,422.45,413.45,
08/30/2021,417.7,412.1,420.4,412,
08/27/2021,410.05,401,411.45,397.5,
08/26/2021,398.35,398,400.9,391.15,
08/25/2021,397.05,396.9,399.35,393,
08/24/2021,395.35,392.7,396.5,386.3,
08/23/2021,390.65,396.7,396.7,381.25,
08/20/2021,391.8,407.9,413.65,390,
08/18/2021,409.4,404.9,411,400.9,
08/17/2021,401.5,398.4,402.8,392.25,
08/16/2021,396.25,402.45,404.15,395.4,
08/13/2021,402.45,401.5,404.95,396.2,
08/12/21,399.8,400.3,408,395.45,
08/11/21,398.25,399.9,405,391.8,
08/10/21,400.7,407.15,407.2,395.3,
08/09/21,405.45,407.85,409.95,403,
08/06/21,403.9,419,419,402.3,
08/05/21,418.9,417.55,421.6,414.7,
08/04/21,419.05,424.5,427.4,418,
08/03/21,422.2,420.85,423.05,414.6,
08/02/21,418.1,412,419.95,410.45,
07/30/2021,411.15,411.8,415.35,406,
07/29/2021,408.75,411.4,413.2,405.05,
07/28/2021,409.4,410.45,411.7,402.95,
07/27/2021,408.8,408.85,414,401.55,
07/26/2021,408.1,402.5,409.5,390.95,
07/23/2021,402.3,403.25,409.5,400.5,
07/22/2021,400.2,407.25,407.25,398.1,
07/20/2021,404.45,391,408.9,387.65,
07/19/2021,386.55,382.3,388.35,380.4,
07/16/2021,383.05,387.45,387.7,381.7,
07/15/2021,386.2,374,389,373.7,
07/14/2021,373,370.95,375.85,368.1,
07/13/2021,368.95,373.55,374.3,367.2,
07/12/21,371.75,364.1,376.4,363.65,
07/09/21,363.6,360.9,364.45,357.55,
07/08/21,360.75,357.7,361.85,355.75,
07/07/21,357.45,353.8,358.55,350.65,
07/06/21,351.85,341.3,359.95,341.3,
07/05/21,340.3,340.8,345.25,339.5,
07/02/21,339.25,341.5,341.95,337.25,
07/01/21,340.3,341.3,342.6,338.6,
06/30/2021,340.65,343.55,346.45,339.65,
06/29/2021,344.4,344.3,345.8,342,
06/28/2021,344.35,349.75,350.85,343.75,
06/25/2021,348.05,346.9,349.5,345.15,
06/24/2021,346.5,345.15,347.85,342.55,
06/23/2021,345.15,346.9,348.5,343.5,
06/22/2021,346.25,345.35,351.5,343.2,
06/21/2021,344.75,337.9,345.85,335,
06/18/2021,341.3,346.9,347.5,335.35,
06/17/2021,346.25,336.6,348.9,336,
06/16/2021,338.9,341,344,337.6,
06/15/2021,341.45,340,344.45,337.45,
06/14/2021,340.35,337.9,340.9,332.5,
06/11/21,337.7,341.9,343.2,335.95,
06/10/21,341.55,335.8,344.15,334.8,
06/09/21,334.35,340,341.6,332.25,
06/08/21,340.35,340.35,341.8,336.4,
06/07/21,339.05,333.8,342.8,333.15,
06/04/21,332.05,333.8,337.3,331.2,
06/03/21,333.95,332.1,336,331.4,
06/02/21,331.1,324.4,332.4,322.55,
06/01/21,324.2,327,328.9,323.1,
05/31/2021,326.8,325.4,328.45,322.5,
05/28/2021,325.65,330.1,331.4,324.25,
05/27/2021,330.1,322,335,319.5,
05/26/2021,323.1,322.3,325,319.4,
05/25/2021,322.3,326.55,327.1,321.25,
05/24/2021,326.2,321.45,328.3,319.5,
05/21/2021,321.45,322.7,324.35,320.25,
05/20/2021,320,319.45,322,314.35,
05/19/2021,317.65,315.5,324.9,315,
05/18/2021,315.65,314.5,316.95,310.1,
05/17/2021,310.2,307.9,311.7,304.55,
05/14/2021,307.1,309.1,311.85,300,
05/12/21,309.05,313.9,314.9,308.05,
05/11/21,314.9,307.5,316.9,306.1,
05/10/21,311.35,314.2,315.15,310,
05/07/21,312.25,315,317.8,311.1,
05/06/21,314.4,313,316.2,310.1,
05/05/21,311.45,310.9,312.3,307.15,
05/04/21,306.95,315,315,306.2,
05/03/21,311.65,304.5,312.8,301.2,
04/30/2021,309.05,314,319.85,306.75,
04/29/2021,314.05,311,315,307.25,
04/28/2021,308.85,308.4,311.25,304.5,
04/27/2021,306.55,303.95,307.5,302.05,
04/26/2021,303.35,297,304.5,295.25,
04/23/2021,295.2,293.2,298.8,292.2,
04/22/2021,295.6,294.9,297.3,285.3,
04/20/2021,295.7,309.2,313.85,292.45,
04/19/2021,300.95,295,302.25,292.4,
04/16/2021,300.7,296.95,305.45,295.4,
04/15/2021,295.2,303,306.5,293,
04/13/2021,302.3,305,309.05,298.5,
04/12/21,304.3,310.9,312.2,299.55,
04/09/21,316.35,326,329.9,314.3,
04/08/21,320.8,310,326.9,309.3,
04/07/21,308.65,305.7,311.3,305.5,
