Date,Price,Open,High,Low,
04/21/2023,2141.3,2140.53,2152.2,2131.37,
04/20/2023,2138.39,2142.49,2150.51,2126.81,
04/19/2023,2143.81,2130.46,2149.6,2126.13,
04/18/2023,2133.24,2161.18,2166.1,2120.43,
04/17/2023,2157.62,2201.56,2201.56,2141.58,
04/13/2023,2147.46,2142.31,2156.8,2135.15,
04/12/23,2139.03,2129.82,2158.94,2124.12,
04/11/23,2129.82,2124.07,2134.1,2118.6,
04/10/23,2119.15,2138.66,2142.67,2116.69,
04/06/23,2134.1,2114.96,2146.41,2113.18,
04/05/23,2119.97,2134.79,2139.21,2104.47,
04/03/23,2125.67,2137.84,2141.53,2110.4,
03/31/2023,2125.03,2056.61,2135.93,2055.29,
03/29/2023,2037.7,2043.76,2046.59,2015.82,
03/28/2023,2049.28,2043.17,2056.61,2039.75,
03/27/2023,2039.75,2019.69,2054.79,2006.02,
03/24/2023,2008.75,2048.96,2051.14,2003.74,
03/23/2023,2048.91,2069.38,2069.38,2045.45,
03/22/2023,2075.44,2078.58,2088.79,2069.38,
03/21/2023,2069.42,2025.62,2072.89,2021.97,
03/20/2023,2007.02,2026.53,2026.53,1987.33,
03/17/2023,2026.58,2050.23,2052.56,2017.32,
03/16/2023,2029.31,2039.34,2055.66,2007.66,
03/15/2023,2039.16,2082.96,2095.81,2031.09,
03/14/2023,2075.3,2079.54,2101.28,2069.06,
03/13/2023,2082.96,2122.25,2136.84,2073.94,
03/10/23,2117.83,2136.2,2136.2,2110.58,
03/09/23,2151.56,2206.03,2206.03,2147.91,
03/08/23,2203.89,2188.98,2206.12,2175.54,
03/06/23,2195,2183.33,2210.22,2183.33,
03/03/23,2174.26,2136.84,2181.51,2134.01,
03/02/23,2122.11,2124.99,2143.04,2116.51,
03/01/23,2136.15,2135.2,2138.2,2118.19,
02/28/2023,2116.74,2165.1,2165.1,2110.17,
02/27/2023,2159.72,2168.38,2177.86,2144.54,
02/24/2023,2174.94,2165.1,2183.88,2159.31,
02/23/2023,2158.31,2166.01,2183.28,2152.79,
02/22/2023,2168.74,2213.41,2215.24,2166.05,
02/21/2023,2219.34,2207.03,2229.82,2199.24,
02/20/2023,2201.84,2224.72,2232.97,2197.32,
02/17/2023,2224.22,2210.63,2230.64,2197.55,
02/16/2023,2214.92,2233.47,2245.32,2210.68,
02/15/2023,2215.33,2176.77,2221.62,2165.1,
02/14/2023,2167.29,2119.7,2170.57,2118.6,
02/13/2023,2117.47,2131,2142.31,2109.53,
02/10/23,2129.86,2148.69,2148.69,2116.42,
02/09/23,2147.23,2149.01,2161.27,2127.77,
02/08/23,2143.95,2107.03,2151.06,2103.24,
02/07/23,2102.1,2107.67,2121.34,2090.44,
02/06/23,2107.21,2119.52,2119.52,2102.88,
02/03/23,2123.21,2137.75,2140.39,2090.53,
02/02/23,2121.16,2119.52,2140.21,2107.07,
02/01/23,2131.41,2169.66,2170.48,2101.28,
01/31/2023,2145.86,2174.21,2175.22,2134.74,
01/30/2023,2143.49,2131.14,2159.99,2097.77,
01/27/2023,2131.14,2171.43,2176.99,2107.76,
01/25/2023,2172.34,2197,2201.38,2170.57,
01/24/2023,2201.7,2217.52,2227.91,2177.54,
01/23/2023,2214.87,2233.47,2248.05,2211.59,
01/20/2023,2226.81,2262.37,2262.37,2222.62,
01/19/2023,2252.7,2255.53,2261.68,2240.31,
01/18/2023,2255.89,2259.91,2271.3,2243,
01/17/2023,2259.5,2236.34,2264.01,2235.29,
01/16/2023,2228.64,2256.17,2260.59,2220.75,
01/13/2023,2249.29,2250.43,2254.62,2219.61,
01/12/23,2253.62,2301.84,2308.13,2247.74,
01/11/23,2302.3,2329.37,2332.11,2299.11,
01/10/23,2331.88,2373.9,2374.77,2321.03,
01/09/23,2367.07,2318.89,2371.85,2314.69,
01/06/23,2313.01,2305.49,2322.35,2296.05,
01/05/23,2291.36,2301.84,2311.87,2282.92,
01/04/23,2295.6,2332.84,2333.38,2292.59,
01/03/23,2331.01,2340.77,2345.6,2322.85,
01/02/23,2347.56,2330.92,2351.98,2322.99,
12/30/2022,2322.99,2321.9,2349.15,2317.84,
12/29/2022,2317.84,2308.27,2323.72,2303.21,
12/28/2022,2319.57,2311.78,2324.54,2298.42,
12/27/2022,2320.12,2305.49,2323.54,2292.13,
12/26/2022,2301.38,2291.54,2317.38,2273.53,
12/23/2022,2280.46,2337.39,2360.87,2272.67,
12/22/2022,2350.07,2365.84,2376.27,2339.13,
12/21/2022,2355.99,2390.27,2400.84,2348.65,
12/20/2022,2389.49,2364.7,2393.91,2339.76,
12/19/2022,2370.21,2355.58,2373.17,2340.77,
12/16/2022,2338.4,2342.86,2387.53,2332.02,
12/15/2022,2350.84,2378.87,2383.8,2343.78,
12/14/2022,2383.8,2398.65,2406.22,2380.24,
12/13/2022,2392.27,2385.71,2400.48,2376.37,
12/12/22,2381.38,2361.1,2391.18,2356.54,
12/09/22,2378.51,2414.79,2425.46,2372.17,
12/08/22,2415.34,2429.92,2429.92,2406.72,
12/07/22,2415.7,2449.34,2456.22,2409.41,
12/06/22,2450.66,2424.91,2458.64,2424.91,
12/05/22,2445.74,2479.56,2479.56,2441.64,
12/02/22,2482.02,2485.3,2504.81,2462.29,
12/01/22,2482.3,2494.19,2511.24,2475.96,
11/30/2022,2490.91,2475.05,2501.12,2460.55,
11/29/2022,2471.45,2465.11,2489.18,2455.36,
11/28/2022,2468.71,2371.44,2481.06,2356.54,
11/25/2022,2385.76,2354.76,2392.23,2353.21,
11/24/2022,2354.3,2339.22,2362.92,2323.13,
11/23/2022,2330.51,2351.07,2351.07,2326.59,
11/22/2022,2337.67,2319.39,2341.04,2312.69,
11/21/2022,2324.68,2356.54,2360.46,2318.25,
11/18/2022,2367.98,2375.68,2378.28,2344.69,
11/17/2022,2371.4,2357.45,2382.06,2353.21,
11/16/2022,2362.78,2373.86,2383.93,2353.07,
11/15/2022,2376.32,2386.67,2395.51,2361.14,
11/14/2022,2386.58,2393,2409.09,2375.27,
11/11/22,2398.79,2369.03,2402.12,2358.59,
11/10/22,2346.92,2356.54,2367.43,2336.48,
11/09/22,2372.95,2375.68,2389.81,2362.33,
11/07/22,2375.82,2362.92,2379.24,2346.51,
