Date,Price,Open,High,Low,
03/30/2022,249.2,255.1,256.4,248.65,
03/29/2022,254.6,257.05,257.5,253.75,
03/28/2022,257.05,254,258,252.55,
03/25/2022,253.35,255.3,255.75,249.25,
03/24/2022,254.85,251.95,256.5,251.45,
03/23/2022,252,251.45,253.7,248.5,
03/22/2022,249.75,244.55,250.75,243.55,
03/21/2022,244.5,245.9,247.75,243.8,
03/17/2022,244.9,245.25,245.4,242.7,
03/16/2022,242.6,240,243,239.1,
03/15/2022,237.85,239,241.4,235.9,
03/14/2022,239,236.25,239.45,235.3,
03/11/22,236.35,231.9,237.1,230.15,
03/10/22,232,231,232.5,227.85,
03/09/22,229.25,227.7,231.4,226.1,
03/08/22,226.9,223.9,228.45,223.75,
03/07/22,224.95,222,227,220.1,
03/04/22,225.5,217.7,227.4,217,
03/03/22,219.4,216.05,220.2,216,
03/02/22,215.3,214.4,216.6,212.45,
02/28/2022,215.85,213.2,216.45,210.8,
02/25/2022,213.95,211.5,216.5,210.55,
02/24/2022,208.5,210,213.3,207,
02/23/2022,215.95,216.8,217.5,215.05,
02/22/2022,214.85,215,216.9,213,
02/21/2022,218,220.3,221.3,217.15,
02/18/2022,221.9,222.65,223.45,221.5,
02/17/2022,222.65,223.05,224.35,220.85,
02/16/2022,222.75,223.8,224.7,221.85,
02/15/2022,223,221,223.5,218.55,
02/14/2022,219.45,226,226,218.5,
02/11/22,232.45,232,233.3,229.8,
02/10/22,232.25,228.7,233.4,227.75,
02/09/22,230.15,232.3,233,228.75,
02/08/22,231.25,230.3,232.3,229.05,
02/07/22,230.2,234,234.75,228.5,
02/04/22,234.3,237.25,238.5,231.55,
02/03/22,234.45,232.15,235.2,231.8,
02/02/22,232.15,230,233.3,229,
02/01/22,227.75,221,228.8,219.15,
01/31/2022,220.2,218.5,220.75,217.1,
01/28/2022,217.6,215.1,219.25,215.1,
01/27/2022,214.6,211.25,215.5,211.1,
01/25/2022,214.3,212,214.7,209.55,
01/24/2022,211.8,217.05,217.75,210.9,
01/21/2022,217.05,218.5,220.5,216,
01/20/2022,218.75,220.55,222.15,218,
01/19/2022,220.35,220.75,222.4,218.7,
01/18/2022,220.75,224.6,227.3,220.3,
