Date,Asian_Paints,Axis_Bank,Bajaj_Finance,DRL,ICICI_Bank,Induslnd_Bank,Nestle_India,Reliance_Industries,Sun_Pharma,Titan_Company,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,BSE Index
2019-09-17,1561.3,681.7,3417.3,2761.7,394.35,1371.7,1275.72,1114.43,422.05,1100.55,197.35,14249.25,520.54,665.1,1963.1,1664.05,3009.55,10171.9,1224.75,341.85,37270.82
2019-09-24,1548.1,648.2,3415.05,2745.5,399.15,1329.65,1287.04,1088.78,416.8,1161.6,195.8,13615.75,509.66,650.0,1983.3,1677.8,2910.2,10466.4,1247.5,343.3,36563.88
2019-10-01,1752.4,694.9,3932.85,2772.55,434.45,1503.6,1346.35,1155.69,406.75,1269.05,210.1,14082.4,564.67,730.4,2057.15,1803.55,2953.95,11578.95,1442.5,399.55,38593.52
2019-10-08,1749.25,668.25,3960.1,2677.1,427.3,1256.6,1371.09,1183.87,388.2,1295.0,196.35,13563.7,584.57,702.0,2122.0,1826.05,3084.05,11729.15,1525.65,385.0,38106.87
2019-10-15,1773.15,686.3,4025.35,2663.2,436.6,1309.5,1387.55,1197.19,383.55,1229.65,192.35,13269.9,600.17,671.45,2392.8,1796.45,3099.85,11363.0,1588.2,374.0,38177.95
2019-10-22,1765.7,693.5,4018.75,2700.8,435.3,1274.45,1434.86,1239.59,399.5,1274.8,202.7,14128.95,603.65,671.65,2258.65,1725.8,3152.95,11582.85,1611.25,364.85,38598.99
2019-10-29,1766.4,714.8,4037.65,2826.7,455.65,1332.55,1498.23,1257.78,405.3,1351.5,196.8,14601.15,597.27,673.15,2349.35,1654.55,3055.3,11905.15,1673.2,366.05,39058.83
2019-11-05,1821.3,747.65,3991.5,2760.7,471.05,1295.8,1495.86,1335.31,429.85,1315.45,199.2,15654.8,602.16,668.2,2406.95,1409.75,3088.75,12241.1,1640.95,372.15,40051.87
2019-11-12,1798.35,747.1,4185.9,2862.15,480.6,1342.25,1465.17,1293.23,427.55,1156.0,201.55,15681.05,590.5,687.05,2492.0,1462.45,3130.4,11881.4,1677.4,446.4,40469.78
2019-11-19,1770.4,710.25,4143.7,2761.9,485.8,1413.85,1423.47,1329.26,411.7,1159.5,200.15,15331.65,597.88,692.65,2563.5,1481.35,3119.0,11207.9,1675.2,441.95,40116.06
2019-11-26,1722.8,748.8,4137.45,2837.65,494.9,1468.7,1422.67,1397.03,450.2,1162.25,201.4,14972.75,646.49,665.75,2638.95,1425.75,3056.4,11039.3,1579.0,448.1,40651.64
2019-12-03,1715.7,752.45,4118.4,2972.6,505.65,1527.65,1458.57,1417.53,459.15,1167.0,200.3,16596.45,644.41,670.7,2590.95,1413.1,2911.5,11292.65,1493.9,458.7,41020.61
2019-12-10,1720.6,739.75,3990.65,2878.7,529.35,1544.0,1430.02,1401.99,443.7,1174.3,202.05,15657.6,657.87,670.0,2553.05,1399.6,2964.4,11300.25,1477.15,489.65,40850.29
2019-12-17,1737.7,716.45,4034.95,2887.35,533.6,1418.8,1406.82,1411.07,429.4,1179.5,195.85,14969.25,690.73,647.4,2499.45,1328.75,2899.2,11229.65,1464.75,482.65,40412.57
2019-12-24,1778.55,742.0,4119.4,2873.75,541.6,1501.4,1421.59,1422.9,439.9,1158.85,198.55,15160.65,709.69,642.4,2606.1,1315.15,2950.85,11320.35,1495.05,478.4,41558.57
2019-12-31,1810.1,736.15,4189.15,2865.65,539.0,1514.15,1459.94,1368.94,422.3,1192.55,196.55,15363.75,749.49,648.1,2563.55,1306.95,2875.65,11442.5,1535.7,488.1,41163.76
2020-01-07,1793.75,748.9,4230.45,2879.05,536.8,1484.6,1477.79,1363.3,434.2,1154.85,196.25,15374.6,759.86,647.15,2530.05,1333.55,2739.65,11447.0,1496.7,481.6,41306.02
2020-01-14,1730.85,724.7,4049.7,2897.5,525.85,1458.8,1438.83,1367.14,440.1,1143.3,199.0,14828.0,847.01,640.4,2539.6,1364.05,2669.4,11099.3,1485.15,484.9,40817.74
2020-01-21,1841.75,746.15,4206.2,2919.65,535.4,1400.6,1486.76,1376.21,448.75,1184.75,209.3,15133.3,829.12,650.75,2545.85,1423.25,2957.15,11206.75,1511.0,505.55,41872.73
2020-01-28,1778.3,712.75,4140.6,3060.05,523.0,1327.6,1554.44,1384.43,446.25,1177.65,207.6,14935.5,831.78,616.95,2567.9,1438.8,2949.6,11250.1,1583.1,523.5,41115.38
2020-02-04,1796.5,735.35,4421.75,3148.6,526.45,1258.25,1586.98,1336.21,450.05,1186.65,216.15,14689.55,884.85,616.2,2765.35,1453.75,2914.8,11112.55,1506.8,512.4,41198.66
2020-02-11,1872.3,724.15,4527.55,3134.5,538.9,1272.8,1637.39,1307.63,426.15,1279.9,206.8,14013.25,952.71,608.05,2961.75,1413.0,2992.75,11601.4,1477.4,522.2,41142.66
2020-02-18,1892.05,755.15,4769.55,3197.55,549.3,1277.2,1628.97,1327.45,414.4,1268.65,212.0,14199.5,923.83,618.85,2999.35,1391.0,2900.1,11444.6,1494.75,519.4,41565.9
2020-02-25,1886.25,741.2,4877.0,3276.85,544.75,1141.0,1677.6,1358.33,403.25,1329.9,200.85,14552.9,900.71,600.5,2787.1,1471.05,2859.65,11256.8,1394.1,486.05,41323.0
2020-03-03,1826.55,729.75,4809.75,3075.65,523.65,1135.05,1626.01,1256.47,374.6,1255.55,211.6,13796.85,829.68,643.6,2649.6,1376.9,2785.0,11177.3,1382.75,552.15,39888.96
2020-03-10,1849.85,682.05,4287.05,3172.95,508.5,1066.25,1653.81,1209.29,405.7,1250.55,211.15,13155.6,806.99,638.55,2788.8,1228.45,2660.55,10852.0,1356.45,527.8,38409.48
2020-03-17,1882.65,618.75,4030.3,2999.6,465.4,853.65,1605.62,1041.42,386.3,1188.85,193.7,12201.65,856.87,610.2,2530.7,1213.2,2425.05,10471.6,1286.6,505.9,35697.4
2020-03-24,1616.65,472.65,3062.15,2667.75,356.0,459.85,1351.34,874.9,362.5,930.4,171.4,10469.75,766.13,569.85,2101.9,976.7,2015.45,10003.95,1135.95,450.0,28869.51
2020-03-31,1594.05,326.9,2585.9,2924.5,317.15,301.2,1443.17,976.4,347.05,883.5,142.15,8357.45,636.81,489.95,1772.85,916.35,1591.95,9035.35,1018.8,302.2,28535.78
2020-04-07,1603.9,358.45,2220.1,3096.2,311.45,342.3,1566.87,975.86,343.55,936.75,155.7,9395.55,715.97,480.45,2035.05,1066.15,2023.65,10269.35,1113.4,273.9,28265.31
2020-04-14,1609.6,391.3,2333.0,3680.75,319.0,398.75,1684.82,1076.54,436.65,913.8,159.0,9258.8,750.98,500.3,2358.1,980.25,2077.9,10500.65,1113.3,284.5,29893.96
2020-04-21,1718.4,417.1,2182.55,3803.95,327.3,424.1,1732.32,1038.53,448.95,949.9,165.0,10025.3,737.55,536.35,2161.3,1068.4,2188.15,11144.5,1183.25,306.35,30379.81
2020-04-28,1812.65,431.2,2147.5,4057.3,336.1,415.6,1763.88,1231.14,474.25,952.2,167.55,10006.85,821.93,503.8,2387.15,1010.65,2040.0,10768.5,1159.2,342.9,31379.55
2020-05-05,1768.0,438.85,2292.8,3880.5,370.25,470.6,1749.57,1287.9,477.85,925.0,167.7,9982.1,863.67,532.95,2392.25,908.3,2239.15,10536.3,1140.1,339.15,32720.16
2020-05-12,1610.6,388.35,2106.25,3856.75,341.4,425.65,1731.04,1319.91,454.55,877.0,164.8,9916.4,902.72,506.6,2591.55,950.3,2343.5,10071.05,1069.75,357.15,31685.75
2020-05-19,1562.9,413.85,2161.15,3782.4,337.6,448.4,1651.87,1364.15,452.4,860.15,175.2,9767.4,841.59,480.55,2525.45,1008.6,2541.35,10189.35,1015.25,334.85,32008.61
2020-05-26,1500.45,362.9,2042.95,3910.75,306.1,357.35,1630.02,1307.86,455.65,850.15,174.6,9149.25,860.35,468.2,2462.6,919.95,2417.8,10056.85,1020.85,314.7,30818.61
2020-06-02,1619.75,387.35,1936.85,3883.3,318.8,368.55,1673.54,1319.07,450.55,886.85,188.55,9391.85,899.99,460.7,2395.1,942.0,2356.5,10020.7,1021.95,310.95,31605.22
2020-06-09,1716.3,409.6,2413.1,3961.2,356.65,431.35,1742.54,1406.13,476.05,984.0,191.2,10499.3,1039.5,549.35,2602.55,945.55,2575.25,10031.05,1109.65,400.05,34109.54
2020-06-16,1636.2,427.8,2438.05,4114.85,353.4,500.7,1656.31,1433.07,499.15,977.55,187.8,11189.35,1008.14,546.4,2703.15,1080.35,2592.6,9933.8,1122.75,386.9,34247.05
2020-06-23,1596.1,389.45,2396.7,3984.0,342.15,490.85,1620.11,1472.63,485.85,962.85,190.6,10566.1,1060.68,552.15,2813.45,1005.3,2882.55,9909.95,1032.7,393.7,33507.92
2020-06-30,1746.4,424.4,2935.45,4042.55,348.4,481.95,1670.69,1574.69,484.4,987.7,193.25,11336.8,1181.42,577.3,2954.7,1072.1,2713.05,9919.75,1101.3,435.05,34868.98
2020-07-07,1688.1,433.25,2954.15,3910.6,363.95,492.35,1679.5,1584.3,468.2,948.6,193.6,11418.1,1151.78,579.5,2761.85,988.85,2863.75,10151.65,1096.65,444.4,35414.45
2020-07-14,1686.6,444.15,3203.6,3886.25,368.9,552.85,1679.89,1638.5,484.0,991.35,193.25,13481.15,1176.31,597.75,2913.1,1034.35,2869.45,10352.8,1172.7,442.55,36329.01
2020-07-21,1671.3,426.8,3147.9,4038.1,345.75,503.5,1690.49,1682.49,494.8,967.95,190.5,13246.2,1272.4,580.25,2895.7,955.3,2903.2,10150.8,1130.8,451.2,36051.81
2020-07-28,1697.45,479.05,3252.55,4061.8,381.1,513.45,1714.64,1826.98,474.25,1057.8,204.95,13162.5,1424.07,579.05,3206.2,964.15,3120.45,10701.25,1178.95,507.25,37871.52
2020-08-04,1737.45,440.85,3283.05,4300.2,350.95,550.8,1658.19,1910.62,493.0,1039.45,216.7,13203.55,1417.88,575.9,3129.65,914.3,3019.55,10514.75,1142.85,499.95,38071.13
2020-08-11,1717.15,434.85,3262.55,4604.7,352.2,492.85,1649.61,1938.7,529.0,1105.5,221.55,12767.9,1592.75,588.25,3186.1,984.0,2965.2,10299.35,1170.8,504.25,37663.33
2020-08-18,1796.75,450.95,3418.6,4517.45,366.8,520.5,1653.87,1939.56,532.0,1058.15,222.75,13262.55,1603.56,605.9,3390.95,939.65,2959.95,10198.25,1158.3,532.1,38369.63
2020-08-25,1885.7,444.1,3408.75,4489.15,374.35,522.15,1634.85,1944.67,525.45,1148.1,228.2,13814.9,1576.49,626.55,3276.65,1196.6,3064.4,10039.35,1243.6,596.95,38614.79
2020-09-01,1971.05,463.4,3644.4,4437.75,389.35,568.1,1618.9,1948.0,524.95,1133.35,222.35,14254.55,1643.6,663.05,3285.25,1166.2,3054.8,10301.6,1230.2,647.45,39073.92
2020-09-08,1946.0,484.35,3670.3,4355.25,392.25,640.75,1599.42,1940.47,514.55,1121.7,213.0,12392.55,1659.04,620.65,3303.0,1202.45,2971.75,9999.1,1177.75,644.1,39086.03
2020-09-15,1978.8,431.2,3423.8,4429.35,367.75,605.45,1631.32,1970.24,509.1,1160.8,206.5,12774.45,1920.94,638.55,3314.1,1251.65,2966.15,10088.75,1207.25,640.45,38193.92
2020-09-22,2014.55,445.95,3519.75,4631.55,374.75,622.1,1619.63,2118.47,518.7,1182.45,217.45,13081.55,2001.03,671.05,3533.55,1343.55,3024.9,10081.65,1237.75,626.95,39302.85
2020-09-29,1946.5,419.8,3242.85,5100.4,351.7,527.65,1536.3,2032.5,502.75,1117.25,206.8,12395.6,1710.52,665.25,3349.35,1234.6,3054.4,9943.65,1216.65,575.1,37668.42
2020-10-06,1987.55,424.5,3277.25,5187.05,354.9,526.75,1592.47,2036.33,500.5,1200.5,216.65,13645.7,1816.35,666.6,3633.45,1238.8,3078.65,9871.55,1260.05,612.5,38067.93
2020-10-13,2103.95,453.05,3331.2,5100.5,382.95,619.8,1611.18,2057.66,511.65,1253.2,225.3,13291.75,1743.94,687.95,3461.15,1330.55,3033.9,9872.25,1276.25,620.9,39878.95
2020-10-20,2071.3,470.9,3371.5,5121.0,406.8,622.75,1566.94,2085.19,502.0,1223.35,241.75,12159.25,1804.03,702.05,3579.4,1365.35,3058.3,10017.23,1232.25,585.35,40794.74
2020-10-27,2114.35,501.5,3233.25,5046.9,420.35,628.3,1601.57,1935.6,489.7,1244.95,251.45,11822.89,1912.06,709.15,3474.45,1373.35,3257.35,9974.06,1287.75,551.95,40707.31
2020-11-03,2159.2,504.85,3370.35,4949.8,396.15,592.75,1711.99,1832.99,463.35,1217.9,255.85,11869.9,1897.9,724.45,3577.8,1326.7,3218.6,10275.39,1266.55,649.35,39922.46
2020-11-10,2169.25,525.05,3559.35,4935.0,437.25,678.1,1699.56,1744.34,504.3,1215.15,262.0,11748.65,1901.93,783.3,3549.05,1370.25,3102.45,10089.09,1306.35,667.5,40616.14
2020-11-17,2181.9,608.5,4269.0,4886.85,486.5,788.15,1669.94,1820.41,506.1,1274.65,249.9,11926.85,1986.41,841.65,3536.7,1627.55,3068.3,11195.31,1357.65,703.35,43593.67
2020-11-24,2196.0,636.2,4655.4,4703.25,497.45,828.5,1686.58,1811.57,512.9,1279.65,262.0,11431.54,2042.25,838.1,3964.3,1702.0,3083.0,10465.3,1426.2,760.9,44180.05
2020-12-01,2154.3,600.0,4689.65,4806.45,472.65,854.5,1752.61,1775.61,506.35,1305.4,256.2,12846.9,2181.98,815.45,4041.8,1590.65,3018.5,10547.59,1364.25,836.8,43828.1
